symbol,entry_time,exit_time,entry_price,exit_price,qty,side,exit_reason,pnl,r_multiple,hold_minutes
DDOG,2025-10-08T10:40:00-04:00,2025-10-08T12:02:00-04:00,163.03,164.54232018375234,1780,LONG,TRAILING_STOP,2691.93,1.26,82
NVDA,2025-10-13T09:52:00-04:00,2025-10-13T10:46:00-04:00,189.215,187.22465714285715,1,LONG,STOP_LOSS,-1.99,-1.0,54
PLTR,2025-10-13T09:50:00-04:00,2025-10-13T10:57:00-04:00,177.6951,174.00458571428575,1663,LONG,STOP_LOSS,-6137.33,-1.0,67
AMZN,2025-10-13T09:49:00-04:00,2025-10-13T13:43:00-04:00,219.4899,219.81194727020633,1346,LONG,TRAILING_STOP,433.48,0.19,234
AMD,2025-10-14T09:53:00-04:00,2025-10-14T14:58:00-04:00,219.97,222.38771620675544,1291,LONG,TRAILING_STOP,3121.27,0.48,305
AMD,2025-10-15T09:50:00-04:00,2025-10-15T10:00:00-04:00,227.0,230.00561501573316,1279,LONG,TRAILING_STOP,3844.18,0.7,10
BAC,2025-10-15T09:53:00-04:00,2025-10-15T10:39:00-04:00,52.27,52.56790415152095,5,LONG,TRAILING_STOP,1.49,0.53,46
AMD,2025-10-15T10:14:00-04:00,2025-10-15T10:40:00-04:00,232.32,234.11270756345925,1283,LONG,TRAILING_STOP,2300.04,0.63,26
NET,2025-10-15T09:51:00-04:00,2025-10-15T11:03:00-04:00,221.92,223.13508015372332,1308,LONG,TRAILING_STOP,1589.32,0.37,72
AMD,2025-10-15T10:55:00-04:00,2025-10-15T11:03:00-04:00,235.74,236.5879557933074,1284,LONG,TRAILING_STOP,1088.78,0.32,8
AMD,2025-10-15T11:16:00-04:00,2025-10-15T11:36:00-04:00,238.242,235.0930285714286,1293,LONG,STOP_LOSS,-4071.62,-1.0,20
PLTR,2025-10-16T09:46:00-04:00,2025-10-16T10:03:00-04:00,182.61,183.49491230021826,1642,LONG,TRAILING_STOP,1453.03,0.34,17
SNOW,2025-10-16T09:53:00-04:00,2025-10-16T10:34:00-04:00,249.31,244.07634285714283,1203,LONG,STOP_LOSS,-6296.09,-1.0,41
DDOG,2025-10-17T10:03:00-04:00,2025-10-17T11:00:00-04:00,155.6325,153.97427142857143,1865,LONG,STOP_LOSS,-3092.6,-1.0,57
BAC,2025-10-17T09:50:00-04:00,2025-10-17T11:25:00-04:00,51.02,51.2802478257826,5689,LONG,TRAILING_STOP,1480.55,0.43,95
META,2025-10-20T09:50:00-04:00,2025-10-20T10:09:00-04:00,727.86,729.587475,394,LONG,TRAILING_STOP,680.63,0.34,19
AAPL,2025-10-20T09:56:00-04:00,2025-10-20T11:16:00-04:00,259.7288,262.547855,1,LONG,TRAILING_STOP,2.82,1.55,80
NFLX,2025-10-20T09:53:00-04:00,2025-10-20T14:49:00-04:00,122.115,124.25093083264605,2350,LONG,TRAILING_STOP,5019.44,2.08,296
AMZN,2025-10-21T09:56:00-04:00,2025-10-21T10:28:00-04:00,220.58,221.46216,1352,LONG,TRAILING_STOP,1192.68,0.57,32
HOOD,2025-10-23T09:49:00-04:00,2025-10-23T11:44:00-04:00,129.4,131.87667786123868,2324,LONG,TRAILING_STOP,5755.8,1.05,115
GOOGL,2025-10-23T09:49:00-04:00,2025-10-23T15:55:00-04:00,254.62,252.74,1181,LONG,EOD_CLOSE,-2220.28,-0.82,366
HOOD,2025-10-24T10:04:00-04:00,2025-10-24T10:27:00-04:00,141.4591,138.7165857142857,2176,LONG,STOP_LOSS,-5967.71,-1.0,23
COIN,2025-10-24T11:10:00-04:00,2025-10-24T11:55:00-04:00,348.32,344.81517142857143,815,LONG,STOP_LOSS,-2856.44,-1.0,45
AMD,2025-10-24T09:56:00-04:00,2025-10-24T15:55:00-04:00,250.49,253.105,1229,LONG,EOD_CLOSE,3213.83,0.66,359
PANW,2025-10-27T09:47:00-04:00,2025-10-27T10:33:00-04:00,220.855,218.91111428571426,1343,LONG,STOP_LOSS,-2610.64,-1.0,46
NET,2025-10-27T09:46:00-04:00,2025-10-27T15:55:00-04:00,221.24,224.78,1340,LONG,EOD_CLOSE,4743.6,1.28,369
PLTR,2025-10-27T09:55:00-04:00,2025-10-27T15:55:00-04:00,191.865,189.31,1,LONG,EOD_CLOSE,-2.56,-0.73,360
NVDA,2025-10-29T09:57:00-04:00,2025-10-29T10:50:00-04:00,211.02,208.78640000000001,1426,LONG,STOP_LOSS,-3185.11,-1.0,53
CAT,2025-10-29T10:25:00-04:00,2025-10-29T14:38:00-04:00,591.65,582.8811714285714,508,LONG,STOP_LOSS,-4454.56,-1.0,253
NOW,2025-10-30T09:49:00-04:00,2025-10-30T10:19:00-04:00,185.915,190.70395904718364,1536,LONG,TRAILING_STOP,7355.84,1.1,30
LLY,2025-10-30T10:09:00-04:00,2025-10-30T10:21:00-04:00,830.795,819.4211428571427,343,LONG,STOP_LOSS,-3901.23,-1.0,12
LLY,2025-10-30T11:18:00-04:00,2025-10-30T11:25:00-04:00,845.26,846.4536250705615,346,LONG,TRAILING_STOP,412.99,0.16,7
NET,2025-10-31T09:51:00-04:00,2025-10-31T10:05:00-04:00,244.33,246.33945015815848,1200,LONG,TRAILING_STOP,2411.34,0.28,14
AMZN,2025-10-31T09:56:00-04:00,2025-10-31T10:28:00-04:00,249.735,245.96174285714287,1,LONG,STOP_LOSS,-3.77,-1.0,32
COIN,2025-10-31T10:07:00-04:00,2025-10-31T10:59:00-04:00,351.75,357.81959213483606,847,LONG,TRAILING_STOP,5140.94,0.93,52
HOOD,2025-10-31T10:35:00-04:00,2025-10-31T11:03:00-04:00,148.51,149.79175094221648,2,LONG,TRAILING_STOP,2.56,0.96,28
SNOW,2025-10-31T09:55:00-04:00,2025-10-31T11:37:00-04:00,274.62,271.14254285714287,1068,LONG,STOP_LOSS,-3713.92,-1.0,102
